0.012532	245
0.012095	121
0.010005	21
0.004211	31
0.003710	1040
0.003344	80
0.002939	452
0.002852	392
0.002600	561
0.002328	8
0.002213	884
0.002160	100
0.002141	169
0.002103	72
0.001961	202
0.001924	157
0.001915	942
0.001915	997
0.001836	645
0.001677	321
0.001646	27
0.001614	1200
0.001562	247
0.001506	81
0.001492	1158
0.001489	490
0.001484	179
0.001476	145
0.001446	16
0.001446	484
0.001416	26
0.001411	2883
0.001402	708
0.001391	1403
0.001342	3870
0.001296	857
0.001271	1043
0.001266	242
0.001246	337
0.001217	154
0.001205	946
0.001205	152
0.001198	559
0.001195	20
0.001191	947
0.001187	1153
0.001186	1755
0.001180	1365
0.001148	3120
0.001132	132
0.001127	125
0.001122	437
0.001097	1370
0.001054	15492
0.001032	1202
0.001019	320
0.001001	1203
0.000998	271
0.000987	122
0.000971	246
0.000968	2100
0.000960	3382
0.000940	1201
0.000936	389
0.000934	15686
0.000927	69
0.000915	3692
0.000904	713
0.000896	2523
0.000881	1570
0.000875	3087
0.000868	1831
0.000863	36
0.000855	1498
0.000855	218
0.000851	890
0.000842	794
0.000836	5197
0.000834	177
0.000824	945
0.000824	2796
0.000822	644
0.000818	277
0.000813	3749
0.000811	1712
0.000808	2114
0.000803	2824
0.000801	1094
0.000798	808
0.000779	1506
0.000762	523
0.000761	184
0.000760	1455
0.000759	944
0.000757	806
0.000750	1059
0.000738	930
0.000718	1818
0.000711	3783
0.000698	3674
0.000697	6331
0.000691	334
0.000688	1658
0.000687	710
0.000685	82
0.000675	885
0.000672	17845
0.000671	71
0.000670	632
0.000668	1197
0.000667	695
0.000664	63
0.000662	6433
0.000655	2069
0.000650	907
0.000641	4780
0.000640	3495
0.000640	2046
0.000634	181
0.000630	1495
0.000627	903
0.000623	3003
0.000622	1654
0.000618	488
0.000614	634
0.000613	3094
0.000613	13657
0.000612	3512
0.000609	1771
0.000607	2843
0.000606	4684
0.000604	253
0.000602	3638
0.000598	124
0.000596	1825
0.000589	6098
0.000581	649
0.000581	2365
0.000579	1733
0.000575	2359
0.000574	262
0.000572	2084
0.000570	993
0.000566	5309
0.000560	4000
0.000558	3687
0.000557	3158
0.000551	2853
0.000550	1251
0.000543	1442
0.000542	1659
0.000539	1687
0.000536	375
0.000534	929
0.000534	510
0.000533	428
0.000528	126
0.000525	2804
0.000522	1859
0.000517	2767
0.000517	4387
0.000512	536
0.000511	829
0.000510	3700
0.000509	800
0.000509	2235
0.000507	163
0.000502	932
0.000497	104
0.000495	270
0.000492	1664
0.000492	3482
0.000491	2248
0.000490	7378
0.000487	2161
0.000486	3358
0.000480	86
0.000478	1194
0.000478	1195
0.000478	1196
0.000478	1198
0.000478	1199
0.000476	879
0.000475	6660
0.000475	1228
0.000472	2816
0.000471	5284
0.000469	3751
0.000468	2291
0.000464	558
0.000459	37
0.000458	268
0.000457	180
0.000457	3369
0.000455	1828
0.000453	6052
0.000450	701
0.000448	6101
0.000448	1169
0.000447	752
0.000445	859
0.000442	1087
0.000441	1152
0.000434	61
0.000422	102
0.000421	314
0.000420	2990
0.000419	3271
0.000418	68
0.000415	5818
0.000413	23
0.000412	746
0.000412	496
0.000409	788
0.000408	6310
0.000406	778
0.000403	3406
0.000402	3808
0.000401	877
0.000401	1374
0.000399	2352
0.000399	139
0.000398	864
0.000396	119
0.000395	3092
0.000394	878
0.000392	6277
0.000392	1627
0.000390	1404
0.000390	340
0.000390	1453
0.000389	882
0.000387	1840
0.000384	2060
0.000383	1869
0.000383	3391
0.000382	3145
0.000381	1417
0.000381	2148
0.000380	305
0.000379	129
0.000378	105
0.000378	667
0.000378	876
0.000376	4713
0.000375	721
0.000375	7553
0.000371	3539
0.000370	8391
0.000369	3635
0.000369	921
0.000366	182
0.000364	1877
0.000364	10235
0.000363	5122
0.000363	874
0.000362	10938
0.000362	823
0.000362	872
0.000362	13222
0.000361	724
0.000360	3383
0.000359	1071
0.000359	3376
0.000358	1556
0.000357	4120
0.000357	1851
0.000357	3068
0.000356	643
0.000355	4427
0.000355	93
0.000354	2562
0.000352	8267
0.000351	7968
0.000350	155
0.000350	880
0.000350	529
0.000349	875
0.000348	5691
0.000348	512
0.000347	10024
0.000345	170
0.000345	819
0.000343	1758
0.000343	3191
0.000340	5936
0.000340	1451
0.000340	275
0.000339	193
0.000339	110
0.000339	7334
0.000338	7698
0.000337	3028
0.000336	6245
0.000335	3063
0.000334	2017
0.000334	6177
0.000333	537
0.000333	3655
0.000333	2813
0.000331	9010
0.000331	554
0.000329	1058
0.000328	971
0.000327	8108
0.000327	1902
0.000327	2627
0.000326	6837
0.000326	343
0.000325	2949
0.000324	5821
0.000323	669
0.000322	11121
0.000321	1102
0.000321	15486
0.000319	671
0.000317	8015
0.000317	733
0.000317	716
0.000317	7065
